aluno [ ~/environment/config/azure-cluster ]$ az vm list-skus --location southcentralus --size Standard_D --all --output table
ResourceType     Locations       Name                    Zones    Restrictions
virtualMachines  southcentralus  Standard_D48d_v4        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D48d_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D48lds_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D48lds_v6      1,2,3    None
virtualMachines  southcentralus  Standard_D48ls_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D48ls_v6       1,2,3    None
virtualMachines  southcentralus  Standard_D48pds_v5      1,2,3    NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 2,3
virtualMachines  southcentralus  Standard_D48pds_v6      1,2      None
virtualMachines  southcentralus  Standard_D48plds_v5     1,2,3    NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 2,3
virtualMachines  southcentralus  Standard_D48plds_v6     1,2      None
virtualMachines  southcentralus  Standard_D48pls_v5      1,2,3    NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 2,3
virtualMachines  southcentralus  Standard_D48pls_v6      1,2      None
virtualMachines  southcentralus  Standard_D48ps_v5       1,2,3    NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 2,3
virtualMachines  southcentralus  Standard_D48ps_v6       1,2      None
virtualMachines  southcentralus  Standard_D48s_v3        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D48s_v4        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D48s_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D48s_v6        1,2,3    None
virtualMachines  southcentralus  Standard_D48_v3         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D48_v4         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D48_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D4ads_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D4ads_v6       1,2      None
virtualMachines  southcentralus  Standard_D4alds_v6      1,2      None
virtualMachines  southcentralus  Standard_D4als_v6       1,2      None
virtualMachines  southcentralus  Standard_D4as_v4        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D4as_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D4as_v6        1,2      None
virtualMachines  southcentralus  Standard_D4a_v4         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D4ds_v4        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D4ds_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D4ds_v6        1,2,3    None
virtualMachines  southcentralus  Standard_D4d_v4         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
